RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11004312,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2012
11004312,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2012
11004516,NBESTA014-17SA,Sistemas CAD/CAM B-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas CAD/CAM,N,SA,2016
11004616,NAESHC025-17SB,Microeconomia I A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Microeconomia I,N,SB,2016
11004616,NABHQ0003-15SB,Interpretações do Brasil A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Interpretações do Brasil,N,SB,2016
11004815,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2015
11004914,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2014
11004916,NAESTA013-17SA,Fundamentos de Robótica A-Noturno (Santo André),Critério de preenchimento de vagas,Fundamentos de Robótica,N,SA,2016
11004916,NANHZ1074-15SA,Astrobiologia A-Noturno (Santo André),Critério de preenchimento de vagas,Astrobiologia,N,SA,2016
11005114,DAESTG020-17SB,Sistemas e Processos de Produção A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas e Processos de Produção,D,SB,2014
11005114,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11005114,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2014
11005114,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2014
11005116,NA5MCTA018-13SA,Programação Orientada a Objetos A5-Noturno (Santo André),Critério de preenchimento de vagas,Programação Orientada a Objetos,N,SA,2016
11005215,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2015
11005215,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2015
11005312,NA1MCTA016-13SA,Paradigmas de Programação A1-Noturno (Santo André),Critério de preenchimento de vagas,Paradigmas de Programação,N,SA,2012
11005413,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2013
11005413,NBESTO017-17SB,Métodos Experimentais em Engenharia B-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Métodos Experimentais em Engenharia,N,SB,2013
11005414,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11005414,NAESTB021-17SB,Sensores Biomédicos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sensores Biomédicos,N,SB,2014
11005515,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2015
11005516,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11005516,NA1ESTO001-17SB,Circuitos Elétricos e Fotônica A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Circuitos Elétricos e Fotônica,N,SB,2016
11005516,NAESZG018-17SB,Estratégias de Comunicação Organizacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,N,SB,2016
11005614,NANHT1002-15SA,Bioética A-Noturno (Santo André),Critério de preenchimento de vagas,Bioética,N,SA,2014
11005616,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
11005714,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11006014,DBESTI006-17SA,Processamento Digital de Sinais B-Matutino (Santo André),Turma cancelada,Processamento Digital de Sinais,D,SA,2014
11006016,NDESTA017-17SA,Laboratório de Máquinas Elétricas D-Noturno (Santo André),Critério de preenchimento de vagas,Laboratório de Máquinas Elétricas,N,SA,2016
11006016,DAESTE025-17SA,Fundamentos de Máquinas Térmicas A-Matutino (Santo André),Turma cancelada,Fundamentos de Máquinas Térmicas,D,SA,2016
11006115,NANHT1002-15SA,Bioética A-Noturno (Santo André),Critério de preenchimento de vagas,Bioética,N,SA,2015
11006115,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2015
11006116,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André),Critério de preenchimento de vagas,Princípios de Administração,D,SA,2016
11006116,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2016
11006116,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2016
11006216,NA2MCTA025-13SA,Sistemas Distribuídos A2-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Distribuídos,N,SA,2016
11006311,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2011
